Age,Fare,Parch,PassengerId,Pclass,Sex,SibSp,Survived
young,cheap,alone,106,3,male,alone,0
young,cheap,alone,107,3,female,alone,1
middle age,cheap,alone,109,3,male,alone,0
old,normal price,alone,111,1,male,alone,0
teen,normal price,alone,112,3,female,Pair,0
young,cheap,alone,113,3,male,alone,0
young,cheap,alone,114,3,female,Pair,0
young,normal price,alone,115,3,female,alone,0
young,cheap,alone,116,3,male,alone,0
very old,cheap,alone,117,3,male,alone,0
young,normal price,alone,118,2,male,Pair,0
young,expensive,Pair,119,1,male,alone,0
teen,normal price,accompanied,120,3,female,accompanied,0
young,normal price,alone,121,2,male,accompanied,0
middle age,normal price,alone,123,2,male,Pair,0
middle age,normal price,alone,124,2,female,alone,1
old,normal price,Pair,125,1,male,alone,0
teen,normal price,alone,126,3,male,Pair,1
young,cheap,alone,128,3,male,alone,1
middle age,cheap,alone,130,3,male,alone,0
middle age,cheap,alone,131,3,male,alone,0
young,cheap,alone,132,3,male,alone,0
old,normal price,alone,133,3,female,Pair,0
young,normal price,alone,134,2,female,Pair,1
young,normal price,alone,135,2,male,alone,0
young,normal price,alone,136,2,male,alone,0
young,normal price,accompanied,137,1,female,alone,1
middle age,normal price,alone,138,1,male,Pair,0
young,cheap,alone,139,3,male,alone,0
young,normal price,alone,140,1,male,alone,0
young,cheap,alone,142,3,female,alone,1
young,normal price,alone,143,3,female,Pair,1
young,cheap,alone,144,3,male,alone,0
young,normal price,alone,145,2,male,alone,0
young,normal price,Pair,146,2,male,Pair,0
young,cheap,alone,147,3,male,alone,1
teen,normal price,accompanied,148,3,female,accompanied,0
middle age,normal price,accompanied,149,2,male,alone,0
middle age,normal price,alone,150,2,male,alone,0
old,normal price,alone,151,2,male,alone,0
young,normal price,alone,152,1,female,Pair,1
old,cheap,alone,153,3,male,alone,0
middle age,normal price,accompanied,154,3,male,alone,0
old,normal price,Pair,156,1,male,alone,0
young,cheap,alone,157,3,female,alone,1
young,cheap,alone,158,3,male,alone,0
middle age,normal price,Pair,161,3,male,alone,0
middle age,normal price,alone,162,2,female,alone,1
young,cheap,alone,163,3,male,alone,0
young,cheap,alone,164,3,male,alone,0
teen,normal price,Pair,165,3,male,accompanied,0
teen,normal price,accompanied,166,3,male,alone,1
middle age,normal price,accompanied,168,3,female,Pair,0
young,normal price,alone,170,3,male,alone,0
very old,normal price,alone,171,1,male,alone,0
teen,normal price,Pair,172,3,male,accompanied,0
teen,normal price,Pair,173,3,female,Pair,1
young,cheap,alone,174,3,male,alone,0
old,normal price,alone,175,1,male,alone,0
young,cheap,Pair,176,3,male,Pair,0
old,normal price,alone,178,1,female,alone,0
young,normal price,alone,179,2,male,alone,0
middle age,cheap,alone,180,3,male,alone,0
teen,normal price,accompanied,183,3,male,accompanied,0
teen,normal price,Pair,184,2,male,accompanied,1
teen,normal price,accompanied,185,3,female,alone,1
middle age,normal price,alone,188,1,male,alone,1
middle age,normal price,Pair,189,3,male,Pair,0
middle age,cheap,alone,190,3,male,alone,0
middle age,normal price,alone,191,2,female,alone,1
young,normal price,alone,192,2,male,alone,0
young,cheap,alone,193,3,female,Pair,1
teen,normal price,Pair,194,2,male,Pair,1
middle age,normal price,alone,195,1,female,alone,1
old,expensive,alone,196,1,female,alone,1
middle age,cheap,Pair,198,3,male,alone,0
young,normal price,alone,200,2,female,alone,0
young,cheap,alone,201,3,male,alone,0
middle age,cheap,alone,203,3,male,alone,0
old,cheap,alone,204,3,male,alone,0
young,cheap,alone,205,3,male,alone,1
teen,normal price,Pair,206,3,female,alone,0
middle age,normal price,alone,207,3,male,Pair,0
young,normal price,alone,208,3,male,alone,1
young,cheap,alone,209,3,female,alone,1
middle age,normal price,alone,210,1,male,alone,1
young,cheap,alone,211,3,male,alone,0
middle age,normal price,alone,212,2,female,alone,1
young,cheap,alone,213,3,male,alone,0
young,normal price,alone,214,2,male,alone,0
middle age,expensive,alone,216,1,female,Pair,1
young,cheap,alone,217,3,female,alone,1
middle age,normal price,alone,218,2,male,Pair,0
middle age,normal price,alone,219,1,female,alone,1
young,normal price,alone,220,2,male,alone,0
young,cheap,alone,221,3,male,alone,1
young,normal price,alone,222,2,male,alone,0
old,cheap,alone,223,3,male,alone,0
middle age,normal price,alone,225,1,male,Pair,1
young,cheap,alone,226,3,male,alone,0
young,normal price,alone,227,2,male,alone,1
young,cheap,alone,228,3,male,alone,0
young,normal price,alone,229,2,male,alone,0
middle age,normal price,alone,231,1,female,Pair,1
young,cheap,alone,232,3,male,alone,0
old,normal price,alone,233,2,male,alone,0
teen,normal price,accompanied,234,3,female,accompanied,1
young,normal price,alone,235,2,male,alone,0
middle age,normal price,alone,237,2,male,Pair,0
teen,normal price,accompanied,238,2,female,alone,1
young,normal price,alone,239,2,male,alone,0
middle age,normal price,alone,240,2,male,alone,0
young,normal price,alone,243,2,male,alone,0
young,cheap,alone,244,3,male,alone,0
young,cheap,alone,245,3,male,alone,0
middle age,normal price,alone,246,1,male,accompanied,0
young,cheap,alone,247,3,female,alone,0
young,normal price,accompanied,248,2,female,alone,1
middle age,normal price,Pair,249,1,male,Pair,1
old,normal price,alone,250,2,male,Pair,0
young,normal price,Pair,252,3,female,Pair,0
very old,normal price,alone,253,1,male,alone,0
young,normal price,alone,254,3,male,Pair,0
middle age,normal price,accompanied,255,3,female,alone,0
young,normal price,accompanied,256,3,female,alone,1
young,normal price,alone,258,1,female,alone,1
middle age,expensive,alone,259,1,female,alone,1
old,normal price,Pair,260,2,female,alone,1
teen,normal price,accompanied,262,3,male,accompanied,1
old,normal price,Pair,263,1,male,Pair,0
middle age,cheap,alone,264,1,male,alone,0
middle age,normal price,alone,266,2,male,alone,0
young,normal price,Pair,267,3,male,accompanied,0
young,cheap,alone,268,3,male,Pair,1
old,expensive,Pair,269,1,female,alone,1
middle age,expensive,alone,270,1,female,alone,1
young,cheap,alone,272,3,male,alone,1
middle age,normal price,Pair,273,2,female,alone,1
middle age,normal price,Pair,274,1,male,alone,0
very old,normal price,alone,276,1,female,Pair,1
middle age,cheap,alone,277,3,female,alone,0
teen,normal price,Pair,279,3,male,accompanied,0
middle age,normal price,Pair,280,3,female,Pair,1
very old,cheap,alone,281,3,male,alone,0
young,cheap,alone,282,3,male,alone,0
young,cheap,alone,283,3,male,alone,0
young,cheap,alone,284,3,male,alone,1
middle age,cheap,alone,286,3,male,alone,0
young,cheap,alone,287,3,male,alone,1
young,cheap,alone,288,3,male,alone,0
middle age,normal price,alone,289,2,male,alone,1
young,cheap,alone,290,3,female,alone,1
young,normal price,alone,291,1,female,alone,1
young,normal price,alone,292,1,female,Pair,1
middle age,normal price,alone,293,2,male,alone,0
young,cheap,alone,294,3,female,alone,0
young,cheap,alone,295,3,male,alone,0
young,cheap,alone,297,3,male,alone,0
teen,expensive,accompanied,298,1,female,Pair,0
old,expensive,Pair,300,1,female,alone,1
young,cheap,alone,303,3,male,alone,0
teen,expensive,accompanied,306,1,male,Pair,1
young,expensive,alone,308,1,female,Pair,1
young,normal price,alone,309,2,male,Pair,0
young,normal price,alone,310,1,female,alone,1
young,normal price,alone,311,1,female,alone,1
young,expensive,accompanied,312,1,female,accompanied,1
young,normal price,Pair,313,2,female,Pair,0
young,cheap,alone,314,3,male,alone,0
middle age,normal price,Pair,315,2,male,Pair,0
young,cheap,alone,316,3,female,alone,1
young,normal price,alone,317,2,female,Pair,1
old,normal price,alone,318,2,male,alone,0
middle age,expensive,accompanied,319,1,female,alone,1
middle age,expensive,Pair,320,1,female,Pair,1
young,cheap,alone,321,3,male,alone,0
young,cheap,alone,322,3,male,alone,0
young,normal price,alone,323,2,female,alone,1
young,normal price,Pair,324,2,female,Pair,1
middle age,expensive,alone,326,1,female,alone,1
very old,cheap,alone,327,3,male,alone,0
middle age,normal price,alone,328,2,female,alone,1
middle age,normal price,Pair,329,3,female,Pair,1
young,normal price,Pair,330,1,female,alone,1
old,normal price,alone,332,1,male,alone,0
middle age,expensive,Pair,333,1,male,alone,0
young,normal price,alone,334,3,male,accompanied,0
young,normal price,alone,337,1,male,Pair,0
middle age,expensive,alone,338,1,female,alone,1
middle age,cheap,alone,339,3,male,alone,1
middle age,normal price,alone,340,1,male,alone,0
teen,normal price,Pair,341,2,male,Pair,1
young,expensive,accompanied,342,1,female,accompanied,1
young,normal price,alone,343,2,male,alone,0
young,normal price,alone,344,2,male,alone,0
middle age,normal price,alone,345,2,male,alone,0
young,normal price,alone,346,2,female,alone,1
middle age,normal price,alone,347,2,female,alone,1
teen,normal price,Pair,349,3,male,Pair,1
middle age,cheap,alone,350,3,male,alone,0
young,cheap,alone,351,3,male,alone,0
teen,cheap,Pair,353,3,male,Pair,0
young,normal price,alone,354,3,male,Pair,0
young,cheap,alone,356,3,male,alone,0
young,normal price,Pair,357,1,female,alone,1
middle age,normal price,alone,358,2,female,alone,0
middle age,normal price,accompanied,361,3,male,Pair,0
young,normal price,alone,362,2,male,Pair,0
middle age,normal price,Pair,363,3,female,alone,0
middle age,cheap,alone,364,3,male,alone,0
young,cheap,alone,366,3,male,alone,0
old,normal price,alone,367,1,female,Pair,1
young,normal price,alone,370,1,female,alone,1
young,normal price,alone,371,1,male,Pair,1
young,cheap,alone,372,3,male,Pair,0
young,cheap,alone,373,3,male,alone,0
young,expensive,alone,374,1,male,alone,0
teen,normal price,Pair,375,3,female,accompanied,0
young,cheap,alone,377,3,female,alone,1
young,expensive,accompanied,378,1,male,alone,0
young,cheap,alone,379,3,male,alone,0
young,cheap,alone,380,3,male,alone,0
middle age,expensive,alone,381,1,female,alone,1
teen,normal price,accompanied,382,3,female,alone,1
middle age,cheap,alone,383,3,male,alone,0
middle age,normal price,alone,384,1,female,Pair,1
young,normal price,alone,386,2,male,alone,0
teen,normal price,accompanied,387,3,male,accompanied,0
middle age,normal price,alone,388,2,female,alone,1
young,normal price,alone,390,2,female,alone,1
middle age,expensive,accompanied,391,1,male,Pair,1
young,cheap,alone,392,3,male,alone,1
young,cheap,alone,393,3,male,accompanied,0
young,expensive,alone,394,1,female,Pair,1
young,normal price,accompanied,395,3,female,alone,1
young,cheap,alone,396,3,male,alone,0
middle age,cheap,alone,397,3,female,alone,0
old,normal price,alone,398,2,male,alone,0
young,normal price,alone,399,2,male,alone,0
young,normal price,alone,400,2,female,alone,1
middle age,cheap,alone,401,3,male,alone,1
young,cheap,alone,402,3,male,alone,0
young,cheap,alone,403,3,female,Pair,0
young,normal price,alone,404,3,male,Pair,0
young,cheap,alone,405,3,female,alone,0
middle age,normal price,alone,406,2,male,Pair,0
old,cheap,alone,407,3,male,alone,0
teen,normal price,Pair,408,2,male,Pair,1
young,cheap,alone,409,3,male,alone,0
middle age,normal price,alone,413,1,female,Pair,1
middle age,cheap,alone,415,3,male,alone,1
middle age,normal price,Pair,417,2,female,Pair,1
young,normal price,accompanied,418,2,female,alone,1
young,normal price,alone,419,2,male,alone,0
teen,normal price,accompanied,420,3,female,alone,0
young,cheap,alone,422,3,male,alone,0
young,cheap,alone,423,3,male,alone,0
young,normal price,Pair,424,3,female,Pair,0
young,normal price,Pair,425,3,male,Pair,0
young,normal price,alone,427,2,female,Pair,1
young,normal price,alone,428,2,female,alone,1
middle age,cheap,alone,430,3,male,alone,1
young,normal price,alone,431,1,male,alone,1
middle age,normal price,alone,433,2,female,Pair,1
young,cheap,alone,434,3,male,alone,0
old,normal price,alone,435,1,male,Pair,0
teen,expensive,accompanied,436,1,female,Pair,1
young,normal price,accompanied,437,3,female,accompanied,0
young,normal price,accompanied,438,2,female,accompanied,1
very old,expensive,accompanied,439,1,male,Pair,0
middle age,normal price,alone,440,2,male,alone,0
middle age,normal price,Pair,441,2,female,Pair,1
young,cheap,alone,442,3,male,alone,0
young,cheap,alone,443,3,male,Pair,0
young,normal price,alone,444,2,female,alone,1
teen,normal price,accompanied,446,1,male,alone,1
teen,normal price,Pair,447,2,female,alone,1
middle age,normal price,alone,448,1,male,alone,1
teen,normal price,Pair,449,3,female,accompanied,1
old,normal price,alone,450,1,male,alone,1
middle age,normal price,accompanied,451,2,male,Pair,0
young,normal price,alone,453,1,male,alone,0
old,normal price,alone,454,1,male,Pair,1
young,cheap,alone,456,3,male,alone,1
very old,normal price,alone,457,1,male,alone,0
old,normal price,alone,459,2,female,alone,1
old,normal price,alone,461,1,male,alone,1
middle age,cheap,alone,462,3,male,alone,0
old,normal price,alone,463,1,male,alone,0
old,normal price,alone,464,2,male,alone,0
middle age,cheap,alone,466,3,male,alone,0
old,normal price,alone,468,1,male,alone,0
teen,normal price,Pair,470,3,female,accompanied,1
middle age,cheap,alone,472,3,male,alone,0
middle age,normal price,accompanied,473,2,female,Pair,1
young,normal price,alone,474,2,female,alone,1
young,cheap,alone,475,3,female,alone,0
middle age,normal price,alone,477,2,male,Pair,0
young,cheap,alone,478,3,male,Pair,0
young,cheap,alone,479,3,male,alone,0
teen,normal price,Pair,480,3,female,alone,1
teen,normal price,accompanied,481,3,male,accompanied,0
old,cheap,alone,483,3,male,alone,0
very old,cheap,alone,484,3,female,alone,1
young,normal price,alone,485,1,male,Pair,1
middle age,normal price,alone,487,1,female,Pair,1
old,normal price,alone,488,1,male,alone,0
young,cheap,alone,489,3,male,alone,0
teen,normal price,Pair,490,3,male,Pair,1
young,cheap,alone,492,3,male,alone,0
old,normal price,alone,493,1,male,alone,0
very old,normal price,alone,494,1,male,alone,0
young,cheap,alone,495,3,male,alone,0
old,normal price,alone,497,1,female,Pair,1
young,expensive,accompanied,499,1,female,Pair,0
young,cheap,alone,500,3,male,alone,0
young,cheap,alone,501,3,male,alone,0
young,cheap,alone,502,3,female,alone,0
middle age,cheap,alone,504,3,female,alone,0
young,normal price,alone,505,1,female,alone,1
young,expensive,alone,506,1,male,Pair,0
middle age,normal price,accompanied,507,2,female,alone,1
young,normal price,alone,509,3,male,alone,0
young,normal price,alone,510,3,male,alone,1
young,cheap,alone,511,3,male,alone,1
middle age,normal price,alone,513,1,male,alone,1
old,normal price,alone,514,1,female,Pair,1
young,cheap,alone,515,3,male,alone,0
old,normal price,alone,516,1,male,alone,0
middle age,normal price,alone,517,2,female,alone,1
middle age,normal price,alone,519,2,female,Pair,1
middle age,cheap,alone,520,3,male,alone,0
young,normal price,alone,521,1,female,alone,1
young,cheap,alone,522,3,male,alone,0
middle age,normal price,Pair,524,1,female,alone,1
middle age,cheap,alone,526,3,male,alone,0
old,normal price,alone,527,2,female,alone,1
middle age,cheap,alone,529,3,male,alone,0
young,normal price,Pair,530,2,male,accompanied,0
teen,normal price,Pair,531,2,female,Pair,1
young,cheap,Pair,533,3,male,Pair,0
young,cheap,alone,535,3,female,alone,0
teen,normal price,accompanied,536,2,female,alone,1
middle age,normal price,alone,537,1,male,alone,0
young,expensive,alone,538,1,female,alone,1
young,normal price,accompanied,540,1,female,alone,1
middle age,normal price,accompanied,541,1,female,alone,1
teen,normal price,accompanied,542,3,female,accompanied,0
teen,normal price,accompanied,543,3,female,accompanied,0
middle age,normal price,alone,544,2,male,Pair,1
old,expensive,alone,545,1,male,Pair,0
very old,normal price,alone,546,1,male,alone,0
young,normal price,alone,547,2,female,Pair,1
middle age,normal price,Pair,549,3,male,Pair,0
teen,normal price,Pair,550,2,male,Pair,1
young,expensive,accompanied,551,1,male,alone,1
young,normal price,alone,552,2,male,alone,0
young,cheap,alone,554,3,male,alone,1
young,cheap,alone,555,3,female,alone,1
very old,normal price,alone,556,1,male,alone,0
old,normal price,alone,557,1,female,Pair,1
middle age,normal price,Pair,559,1,female,Pair,1
middle age,normal price,alone,560,3,female,Pair,1
middle age,cheap,alone,562,3,male,alone,0
young,normal price,alone,563,2,male,alone,0
young,normal price,alone,566,3,male,accompanied,0
young,cheap,alone,567,3,male,alone,0
young,normal price,accompanied,568,3,female,alone,0
middle age,cheap,alone,570,3,male,alone,1
very old,normal price,alone,571,2,male,alone,1
old,normal price,alone,572,1,female,accompanied,1
middle age,normal price,alone,573,1,male,alone,1
young,cheap,alone,575,3,male,alone,0
young,normal price,alone,576,3,male,alone,0
middle age,normal price,alone,577,2,female,alone,1
middle age,normal price,alone,578,1,female,Pair,1
middle age,cheap,alone,580,3,male,alone,1
young,normal price,Pair,581,2,female,Pair,1
middle age,expensive,Pair,582,1,female,Pair,1
old,normal price,alone,583,2,male,alone,0
middle age,normal price,alone,584,1,male,alone,0
young,normal price,accompanied,586,1,female,alone,1
old,normal price,alone,587,2,male,alone,0
old,normal price,Pair,588,1,male,Pair,1
young,cheap,alone,589,3,male,alone,0
middle age,cheap,alone,591,3,male,alone,0
old,normal price,alone,592,1,female,Pair,1
old,cheap,alone,593,3,male,alone,0
middle age,normal price,alone,595,2,male,Pair,0
middle age,normal price,Pair,596,3,male,Pair,0
old,cheap,alone,598,3,male,alone,0
old,normal price,alone,600,1,male,Pair,1
young,normal price,Pair,601,2,female,accompanied,1
middle age,cheap,alone,604,3,male,alone,0
middle age,normal price,alone,605,1,male,alone,1
middle age,normal price,alone,606,3,male,Pair,0
young,cheap,alone,607,3,male,alone,0
young,normal price,alone,608,1,male,alone,1
young,normal price,accompanied,609,2,female,Pair,1
middle age,expensive,alone,610,1,female,alone,1
middle age,normal price,accompanied,611,3,female,Pair,0
middle age,cheap,alone,615,3,male,alone,0
young,normal price,accompanied,616,2,female,Pair,1
middle age,normal price,Pair,617,3,male,Pair,0
young,normal price,alone,618,3,female,Pair,0
teen,normal price,Pair,619,2,female,accompanied,1
young,normal price,alone,620,2,male,alone,0
young,normal price,alone,621,3,male,Pair,0
middle age,normal price,alone,622,1,male,Pair,1
young,normal price,Pair,623,3,male,Pair,1
young,cheap,alone,624,3,male,alone,0
young,normal price,alone,625,3,male,alone,0
very old,normal price,alone,626,1,male,alone,0
old,normal price,alone,627,2,male,alone,0
young,normal price,alone,628,1,female,alone,1
young,cheap,alone,629,3,male,alone,0
very old,normal price,alone,631,1,male,alone,1
old,cheap,alone,632,3,male,alone,0
middle age,normal price,alone,633,1,male,alone,1
teen,normal price,accompanied,635,3,female,accompanied,0
young,normal price,alone,636,2,female,alone,1
middle age,cheap,alone,637,3,male,alone,0
middle age,normal price,Pair,638,2,male,Pair,0
middle age,normal price,accompanied,639,3,female,alone,0
young,cheap,alone,641,3,male,alone,0
young,normal price,alone,642,1,female,alone,1
teen,normal price,accompanied,643,3,female,accompanied,0
teen,normal price,Pair,645,3,female,accompanied,1
old,normal price,alone,646,1,male,Pair,1
young,cheap,alone,647,3,male,alone,0
old,normal price,alone,648,1,male,alone,1
young,cheap,alone,650,3,female,alone,1
young,normal price,Pair,652,2,female,alone,1
young,cheap,alone,653,3,male,alone,0
young,cheap,alone,655,3,female,alone,0
young,normal price,alone,656,2,male,accompanied,0
middle age,normal price,Pair,658,3,female,Pair,0
young,normal price,alone,659,2,male,alone,0
old,expensive,accompanied,660,1,male,alone,0
old,expensive,alone,661,1,male,accompanied,1
middle age,cheap,alone,662,3,male,alone,0
old,normal price,alone,663,1,male,alone,0
middle age,cheap,alone,664,3,male,alone,0
young,cheap,alone,665,3,male,Pair,1
middle age,normal price,alone,666,2,male,accompanied,0
young,normal price,alone,667,2,male,alone,0
middle age,cheap,alone,669,3,male,alone,0
middle age,normal price,Pair,671,2,female,Pair,1
middle age,normal price,alone,672,1,male,Pair,0
very old,normal price,alone,673,2,male,alone,0
middle age,normal price,alone,674,2,male,alone,1
young,cheap,alone,676,3,male,alone,0
young,cheap,alone,677,3,male,alone,0
young,cheap,alone,678,3,female,alone,1
middle age,normal price,accompanied,679,3,female,Pair,0
middle age,expensive,Pair,680,1,male,alone,1
young,normal price,alone,682,1,male,alone,1
young,cheap,alone,683,3,male,alone,0
teen,normal price,accompanied,684,3,male,accompanied,0
old,normal price,Pair,685,2,male,Pair,0
young,normal price,accompanied,686,2,male,Pair,0
teen,normal price,Pair,687,3,male,accompanied,0
young,normal price,alone,688,3,male,alone,0
young,cheap,alone,689,3,male,alone,0
teen,expensive,Pair,690,1,female,alone,1
middle age,normal price,alone,691,1,male,Pair,1
teen,normal price,Pair,692,3,female,alone,1
young,cheap,alone,694,3,male,alone,0
old,normal price,alone,695,1,male,alone,0
old,normal price,alone,696,2,male,alone,0
middle age,cheap,alone,697,3,male,alone,0
old,expensive,Pair,699,1,male,Pair,0
middle age,cheap,alone,700,3,male,alone,0
young,expensive,alone,701,1,female,Pair,1
middle age,normal price,alone,702,1,male,alone,1
young,normal price,Pair,703,3,female,alone,0
young,cheap,alone,704,3,male,alone,0
young,cheap,alone,705,3,male,Pair,0
middle age,normal price,alone,706,2,male,alone,0
middle age,normal price,alone,707,2,female,alone,1
middle age,normal price,alone,708,1,male,alone,1
young,expensive,alone,709,1,female,alone,1
young,normal price,alone,711,1,female,alone,1
old,normal price,alone,713,1,male,Pair,1
young,cheap,alone,714,3,male,alone,0
old,normal price,alone,715,2,male,alone,0
young,cheap,alone,716,3,male,alone,0
middle age,expensive,alone,717,1,female,alone,1
young,normal price,alone,718,2,female,alone,1
middle age,cheap,alone,720,3,male,alone,0
teen,normal price,Pair,721,2,female,alone,1
young,cheap,alone,722,3,male,Pair,0
middle age,normal price,alone,723,2,male,alone,0
old,normal price,alone,724,2,male,alone,0
young,normal price,alone,725,1,male,Pair,1
young,cheap,alone,726,3,male,alone,0
young,normal price,alone,727,2,female,accompanied,1
young,normal price,alone,729,2,male,Pair,0
young,cheap,alone,730,3,female,Pair,0
young,expensive,alone,731,1,female,alone,1
teen,normal price,alone,732,3,male,alone,0
young,normal price,alone,734,2,male,alone,0
young,normal price,alone,735,2,male,alone,0
young,normal price,alone,736,3,male,alone,0
old,normal price,accompanied,737,3,female,Pair,0
middle age,expensive,alone,738,1,male,alone,1
middle age,normal price,alone,742,1,male,Pair,0
young,expensive,accompanied,743,1,female,accompanied,1
young,normal price,alone,744,3,male,Pair,0
middle age,cheap,alone,745,3,male,alone,1
very old,normal price,Pair,746,1,male,Pair,0
young,normal price,Pair,747,3,male,Pair,0
young,normal price,alone,748,2,female,alone,1
young,normal price,alone,749,1,male,Pair,0
middle age,cheap,alone,750,3,male,alone,0
teen,normal price,Pair,751,2,female,Pair,1
teen,normal price,Pair,752,3,male,alone,1
middle age,cheap,alone,753,3,male,alone,0
young,cheap,alone,754,3,male,alone,0
old,normal price,accompanied,755,2,female,Pair,1
teen,normal price,Pair,756,2,male,Pair,1
young,cheap,alone,757,3,male,alone,0
young,normal price,alone,758,2,male,alone,0
middle age,cheap,alone,759,3,male,alone,0
middle age,normal price,alone,760,1,female,alone,1
middle age,cheap,alone,762,3,male,alone,0
young,cheap,alone,763,3,male,alone,1
middle age,expensive,accompanied,764,1,female,Pair,1
young,cheap,alone,765,3,male,alone,0
old,normal price,alone,766,1,female,Pair,1
middle age,cheap,alone,768,3,female,alone,0
middle age,cheap,alone,770,3,male,alone,0
young,cheap,alone,771,3,male,alone,0
old,cheap,alone,772,3,male,alone,0
old,normal price,alone,773,2,female,alone,0
old,normal price,accompanied,775,2,female,Pair,1
young,cheap,alone,776,3,male,alone,0
teen,normal price,alone,778,3,female,alone,1
middle age,expensive,Pair,780,1,female,alone,1
teen,cheap,alone,781,3,female,alone,1
young,normal price,alone,782,1,female,Pair,1
young,normal price,alone,783,1,male,alone,0
young,cheap,alone,785,3,male,alone,0
young,cheap,alone,786,3,male,alone,0
young,cheap,alone,787,3,female,alone,1
teen,normal price,Pair,788,3,male,accompanied,0
teen,normal price,accompanied,789,3,male,Pair,1
old,normal price,alone,790,1,male,alone,0
young,normal price,alone,792,2,male,alone,0
young,cheap,alone,795,3,male,alone,0
middle age,normal price,alone,796,2,male,alone,0
old,normal price,alone,797,1,female,alone,1
middle age,cheap,alone,798,3,female,alone,1
young,cheap,alone,799,3,male,alone,0
young,normal price,Pair,800,3,female,Pair,0
middle age,normal price,alone,801,2,male,alone,0
middle age,normal price,Pair,802,2,female,Pair,1
teen,expensive,accompanied,803,1,male,Pair,1
teen,cheap,Pair,804,3,male,alone,1
young,cheap,alone,805,3,male,alone,1
middle age,cheap,alone,806,3,male,alone,0
middle age,cheap,alone,807,1,male,alone,0
young,cheap,alone,808,3,female,alone,0
middle age,normal price,alone,809,2,male,alone,0
middle age,normal price,alone,810,1,female,Pair,1
